,abbr,href,name
0,AAS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS.xml,Asian American Studies
1,ABE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE.xml,Agricultural and Biological Engineering
2,ACCY,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY.xml,Accountancy
3,ACE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE.xml,Agricultural and Consumer Economics
4,ACES,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACES.xml,"Agricultural, Consumer and Environmental Sciences"
5,ADV,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV.xml,Advertising
6,AE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE.xml,Aerospace Engineering
7,AFAS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFAS.xml,Air Force Aerospace Studies
8,AFRO,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO.xml,African American Studies
9,AFST,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST.xml,African Studies
10,AGCM,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AGCM.xml,Agricultural Communications
11,AGED,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AGED.xml,Agricultural Education
12,AHS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AHS.xml,Applied Health Sciences Courses
13,AIS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AIS.xml,American Indian Studies
14,ALEC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ALEC.xml,"Agricultural Leadership, Education, and Communications Program"
15,ANSC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC.xml,Animal Sciences
16,ANTH,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH.xml,Anthropology
17,ARAB,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARAB.xml,Arabic
18,ARCH,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH.xml,Architecture
19,ART,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ART.xml,Art
20,ARTD,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD.xml,Art--Design
21,ARTE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE.xml,Art--Education
22,ARTF,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTF.xml,Art--Foundation
23,ARTH,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH.xml,Art--History
24,ARTJ,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTJ.xml,Japanese Arts and Aesthetics
25,ARTS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS.xml,Art--Studio
26,ASRM,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM.xml,Actuarial Science and Risk Management
27,ASST,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASST.xml,Asian Studies
28,ASTR,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR.xml,Astronomy
29,ATMS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS.xml,Atmospheric Sciences
30,BADM,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM.xml,Business Administration
31,BASQ,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BASQ.xml,Basque
32,BCOG,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BCOG.xml,Brain and Cognitive Science
33,BCS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BCS.xml,Bosnian-Croatian-Serbian
34,BDI,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BDI.xml,Business Data and Innovation
35,BIOC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOC.xml,Biochemistry
36,BIOE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE.xml,Bioengineering
37,BIOP,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOP.xml,Biophysics
38,BSE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE.xml,Biomedical Sciences and Engineering
39,BTW,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW.xml,Business and Technical Writing
40,BUS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BUS.xml,Business
41,CB,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CB.xml,Comparative Biosciences
42,CDB,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CDB.xml,Cell and Developmental Biology
43,CEE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE.xml,Civil and Environmental Engineering
44,CHBE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE.xml,Chemical and Biomolecular Engineering
