,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100.xml,Intro Asian American Studies
1,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/200.xml,U.S. Race and Empire
2,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/201.xml,US Racial & Ethnic Politics
3,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/211.xml,Asian Americans and the Arts
4,215,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/215.xml,US Citizenship Comparatively
5,275,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/275.xml,The Politics of Fashion
6,281,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/281.xml,Constructing Race in America
7,283,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/283.xml,Asian American History
8,286,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/286.xml,Asian American Literature
9,287,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/287.xml,Food and Asian Americans
10,288,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/288.xml,Global Islam and Feminisms
11,297,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/297.xml,Asian Families in America
12,299,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/299.xml,Begin Topics Asian Am Studies
13,300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/300.xml,"Theories of Race, Gender, and Sexuality"
14,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/310.xml,Race and Cultural Diversity
15,315,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/315.xml,"War, Memory, and Cinema"
16,355,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/355.xml,Race and Mixed Race
17,357,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/357.xml,Literatures of the Displaced
18,370,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/370.xml,"Immigration, Law, and Rights"
19,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/495.xml,Minoritarian Aesthetics Practicum
20,539,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/539.xml,"Youth, Culture and Society"
21,589,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/589.xml,Readings in Asian Am Studies
