,number,href,name
0,128,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/128.xml,Applied Biology for Agricultural and Biological Engineers
1,152,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/152.xml,Water in the Global Environment
2,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/199.xml,Undergraduate Open Seminar
3,228,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/228.xml,Computer-Aided Problem-Solving for ABE II
4,232,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/232.xml,Context in International Interventions
5,341,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/341.xml,Transport Processes in ABE
6,397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/397.xml,Independent Study
7,425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/425.xml,Engrg Measurement Systems
8,457,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/457.xml,NPS Pollution Processes
9,458,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/458.xml,NPS Pollution Modeling
10,469,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/469.xml,Capstone Design Experience
11,483,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/483.xml,Engineering Properties of Food Materials
12,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/497.xml,Independent Study
13,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/498.xml,Special Topics
14,502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/502.xml,Graduate Seminar: Advanced Career Skills
15,532,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/532.xml,Advanced Contextual Design
16,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/597.xml,Independent Study
17,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE/599.xml,Thesis Research
