,number,href,name
0,150,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/150.xml,Introduction to Advertising
1,175,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/175.xml,Introduction to Multicultural Advertising
2,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/200.xml,Data Literacy
3,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/201.xml,Social Media and Personal Branding
4,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/222.xml,Copywriting
5,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/250.xml,Advertising and Brand Strategy
6,270,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/270.xml,Principles of Sales
7,280,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/280.xml,Introduction to Advertising Media
8,281,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/281.xml,Advertising Research Methods
9,284,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/284.xml,Consumer Insight
10,290,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/290.xml,Special Topics in Advertising
11,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/301.xml,Becoming an Influencer
12,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/310.xml,Intro to Public Relations
13,314,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/314.xml,Sports Public Relations
14,320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/320.xml,Sales Management
15,333,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/333.xml,Agency Experience
16,350,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/350.xml,Writing for Public Relations
17,360,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/360.xml,Innovations in Advertising
18,370,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/370.xml,Sales and the Consumer
19,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/390.xml,Content Creation
20,392,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/392.xml,Advertising Immersion
21,393,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/393.xml,Advertising and Society
22,396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/396.xml,Research Experience in Advertising
23,399,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/399.xml,Advertising Study Abroad
24,400,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/400.xml,Special Problems
25,409,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/409.xml,Media Entrepreneurship
26,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/410.xml,Public Relations Strategies
27,454,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/454.xml,Creative Concepts II
28,461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/461.xml,Computational Advertising
29,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/480.xml,Social Media Analytics
30,483,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/483.xml,Audience Analysis
31,484,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/484.xml,Quantitative Research Methods
32,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/490.xml,Advanced Special Topics in Advertising
33,492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/492.xml,Tech and Advertising Campaigns
34,494,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/494.xml,Persuasion Consumer Response
35,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/495.xml,Internship Seminar
36,496,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/496.xml,UG Research Project
37,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/497.xml,Colloquium in Advertising
38,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/498.xml,The Sandage Project
39,509,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/509.xml,Media Entrepreneurship
40,582,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/582.xml,Qualitative Rsrch in Advert
41,588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/588.xml,Graduate Seminar II
42,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/590.xml,Special Topics in Advertising
43,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/597.xml,Proseminar in Advertising
44,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/598.xml,Professional Project
45,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/599.xml,Thesis Research
