,number,href,name
0,140,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/140.xml,Aerospace Computer-Aided Design
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/199.xml,Undergraduate Open Seminar
2,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/202.xml,Aerospace Flight Mechanics
3,298,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/298.xml,Special Topics
4,311,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/311.xml,Incompressible Flow
5,312,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/312.xml,Compressible Flow
6,321,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/321.xml,Mechs of Aerospace Structures
7,323,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/323.xml,Applied Aerospace Structures
8,352,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/352.xml,Aerospace Dynamical Systems
9,353,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/353.xml,Aerospace Control Systems
10,370,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/370.xml,Aerospace Numerical Methods
11,395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/395.xml,Honors Project
12,396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/396.xml,Honors Seminar
13,397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/397.xml,Independent Study
14,398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/398.xml,Special Topics
15,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/403.xml,Spacecraft Attitude Control
16,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/410.xml,Computational Aerodynamics
17,419,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/419.xml,Aircraft Flight Mechanics
18,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/420.xml,Finite Element Analysis
19,434,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/434.xml,Rocket Propulsion
20,435,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/435.xml,Electric Space Propulsion
21,443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/443.xml,Aerospace Systems Design II
22,454,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/454.xml,Systems Dynamics & Control
23,461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461.xml,Structures & Control Lab
24,482,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/482.xml,Introduction to Robotics
25,484,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/484.xml,"UAV Performance, Design, and Fabrication"
26,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/497.xml,Independent Study
27,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/498.xml,Special Topics
28,508,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/508.xml,Optimal Space Trajectories
29,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/510.xml,Advanced Gas Dynamics
30,514,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/514.xml,Boundary Layer Theory
31,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/515.xml,Wing Theory
32,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/526.xml,Composites Manufacturing
33,538,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/538.xml,Combustion Fundamentals
34,543,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/543.xml,Aerospace Syst Engineering II
35,551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/551.xml,Elastodynamics and Vibrations
36,555,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/555.xml,Multivariable Control Design
37,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/590.xml,Seminar
38,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/597.xml,Independent Study
39,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/598.xml,Special Topics
40,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/599.xml,Thesis Research
