,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/101.xml,Introduction to Anthropology
1,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/103.xml,Anthro in a Changing World
2,105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/105.xml,World Archaeology
3,109,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/109.xml,Religion & Society in West II
4,126,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/126.xml,Humans and Animals - Food or Friend?
5,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/199.xml,Undergraduate Open Seminar
6,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/210.xml,Families in Global Perspective
7,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/221.xml,Archaeology of South Asia
8,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/222.xml,Introduction to Modern Africa
9,230,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/230.xml,Sociocultural Anthropology
10,240,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/240.xml,Biological Anthropology
11,242,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/242.xml,History of Human Evolution
12,246,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/246.xml,Forensic Science
13,248,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/248.xml,Introduction to Engaged and Public Anthropology
14,249,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/249.xml,Evolution and Human Disease
15,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/250.xml,The World Through Museums
16,259,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/259.xml,Latina/o Anthropology
17,270,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/270.xml,Language in Culture
18,278,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/278.xml,Climate Change & Civilization
19,342,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/342.xml,Animal Behavior
20,352,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/352.xml,Language and Gender
21,361,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/361.xml,Ecology and Human Health
22,372,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/372.xml,Topics in Lang & Culture
23,374,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/374.xml,Anth of Science and Technology
24,379,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/379.xml,Medical Anthropology
25,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/390.xml,Individual Study
26,399,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/399.xml,Special Topics
27,405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/405.xml,Contemporary Central America
28,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/420.xml,Case Studies Global Heritage
29,432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/432.xml,Genes and Behavior
30,435,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/435.xml,The Neandertal Debate
31,444,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/444.xml,Methods in Bioanthropology
32,445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/445.xml,Research in Bioanthropology
33,447,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/447.xml,Advanced Skeletal Biology
34,454,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/454.xml,Archaeological Field School
35,455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/455.xml,Lab Analysis in Archaeology
36,461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/461.xml,Hist of Archaeological Theory
37,462,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/462.xml,Museum Theory and Practice
38,468,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/468.xml,Primate Microbial Seminar
39,471,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/471.xml,Ethnography through Language
40,485,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/485.xml,Anthropology of Policing
41,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/495.xml,Honors Senior Thesis II
42,496,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/496.xml,Individual Field Research
43,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/497.xml,Individual Field Data Analysis
44,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/499.xml,Topics in Anthropology
45,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/515.xml,Seminar in Anthropology
46,561,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/561.xml,Archaeological Theory
47,589,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/589.xml,Readings in Anthropology
48,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/590.xml,Dissertation Readings
49,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH/599.xml,Thesis Research
