,number,href,name
0,172,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/172.xml,Introduction to Design II
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/199.xml,Undergraduate Open Seminar
2,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/222.xml,Islamic Gardens & Architecture
3,232,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/232.xml,Structural Fundamentals
4,274,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/274.xml,Fundamentals of Design II
5,314,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/314.xml,History of World Landscapes
6,372,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/372.xml,Intermediate Design II
7,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/401.xml,Independent Study
8,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/403.xml,Special Topics in Architectural History
9,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/407.xml,Rome: City of Visible History
10,409,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/409.xml,Studies in Spanish Architecture
11,416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/416.xml,"The Architecture of the United States, c.1650 to Present"
12,435,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/435.xml,Structural Systems and Construction Methods
13,468,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/468.xml,Overseas Architectural Studies
14,472,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/472.xml,Arch Des in Landscape & Cities
15,474,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/474.xml,Advanced Design II
16,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/490.xml,Special Topics in Contemporary Architecture
17,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/491.xml,Arch Professional Internship
18,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/499.xml,Off-Campus Study
19,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/501.xml,Architectural Practice
20,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/510.xml,History of World Landscapes
21,517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/517.xml,"Modern Architectural History, 1850-Present"
22,535,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/535.xml,Design of Tall Buildings
23,537,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/537.xml,Environmental Control Systems II
24,538,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/538.xml,Integrative Design of Buildings
25,554,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/554.xml,Adv Steel Design
26,560,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/560.xml,Advanced Structural Analysis
27,571,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/571.xml,Design: Detail and Architectonics
28,572,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/572.xml,Design: Health and Well-being
29,573,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/573.xml,Design: Technology and Performance
30,574,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/574.xml,Design: Architecture and Urban Design
31,575,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/575.xml,Integrative Architecture Design Studio
32,576,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/576.xml,Architectural Design Seminar
33,588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/588.xml,Independent Study
34,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/590.xml,Directed Research
35,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/591.xml,Special Problems in Architectural History and Theory
36,592,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/592.xml,Special Problems in Urbanism
37,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/593.xml,Special Problems in Detail and Fabrication
38,594,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/594.xml,Special Problems in Building Performance
39,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/595.xml,Spec Prob Struct Theory & Des
40,596,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/596.xml,Special Problems in Health and Wellbeing
41,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/599.xml,Thesis Research
