,number,href,name
0,151,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/151.xml,Introduction to Graphic Design
1,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/202.xml,Industrial Design II
2,217,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/217.xml,Graphic Design for Non-Majors
3,218,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/218.xml,Interaction Design Foundation
4,228,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/228.xml,Computer Applications
5,299,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/299.xml,Spec Topics in Design Courses
6,302,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/302.xml,Industrial Design IV
7,317,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/317.xml,UI/UX Design for Non-Majors
8,326,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/326.xml,Sustainability & Manufacturing
9,328,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/328.xml,Human-Centered Product Design
10,333,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/333.xml,Type & Image
11,391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/391.xml,Special Problems in Design
12,399,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/399.xml,Internship in Design
13,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/402.xml,Industrial Design VI
14,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/418.xml,Advanced Interaction Design
15,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/420.xml,Disability Design
16,426,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/426.xml,Product Innovation
17,444,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/444.xml,Typographic Systems
18,471,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/471.xml,Graphic Design Capstone
19,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/499.xml,Special Topics in Design
20,551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/551.xml,Design for Responsible Innovation Research Impact
21,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/591.xml,Special Problems in Design
22,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/595.xml,MFA Design for Responsible Innovation Studio
23,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD/599.xml,Thesis
