,number,href,name
0,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/205.xml,Introduction to Printmaking
1,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/210.xml,Ceramics Sculpture I
2,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/220.xml,Introduction to Fashion
3,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/221.xml,Fashion Illustration
4,241,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/241.xml,Image Practice
5,243,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/243.xml,Time Arts I
6,244,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/244.xml,Interaction I
7,245,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/245.xml,Beginning Illustration
8,251,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/251.xml,Beginning Painting
9,252,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/252.xml,Making and Meaning
10,264,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/264.xml,Basic Photography
11,265,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/265.xml,Photography II
12,267,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/267.xml,Digital Photographic Output
13,280,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/280.xml,Beginning Sculpture
14,320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/320.xml,Fashion and Textiles Design
15,352,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/352.xml,Digital Coloring
16,354,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/354.xml,Intermediate Painting
17,365,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/365.xml,Photography Workshop
18,381,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/381.xml,Intermediate Sculpture
19,391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/391.xml,Independent Study
20,392,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/392.xml,Current Art Issues Seminar
21,405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/405.xml,Special Topics in Printmaking
22,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/420.xml,Making Fashion: Apparel Design in Context
23,444,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/444.xml,Interaction II
24,445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/445.xml,Special Topics in New Media
25,446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/446.xml,Topics in Performance Art
26,451,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/451.xml,BFASA Capstone Studio
27,455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/455.xml,Advanced Painting
28,461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/461.xml,Advanced Photography
29,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/499.xml,Special Topics in Studio Art
30,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/591.xml,Graduate Studio
31,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/593.xml,Seminar: Methods Criticism
32,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS/595.xml,Graduate Laboratory
