,number,href,name
0,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/210.xml,Theory of Interest
1,392,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/392.xml,Actuarial Problem Solving
2,398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/398.xml,Actuarial Internship
3,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/401.xml,Actuarial Statistics I
4,406,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/406.xml,Linear Algebra with Financial Applications
5,409,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/409.xml,Stochastic Processes for Finance and Insurance
6,441,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/441.xml,Statistics for Risk Modeling I
7,442,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/442.xml,Statistics for Risk Modeling II
8,450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/450.xml,Methods of Applied Statistics
9,451,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/451.xml,Basics of Statistical Learning
10,453,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/453.xml,Applied Bayesian Analysis
11,454,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/454.xml,Generalized Linear Models
12,461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/461.xml,Loss Models
13,469,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/469.xml,Casualty Actuarial Mathematics
14,471,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/471.xml,Life Contingencies I
15,472,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/472.xml,Life Contingencies II
16,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/510.xml,Financial Mathematics
17,539,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/539.xml,Risk Analytics and Decision Making
18,551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/551.xml,Statistical Learning
19,555,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/555.xml,Advanced Predictive Analytics
20,575,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/575.xml,Life Insurance and Pension Mathematics
21,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/593.xml,Graduate Internship
22,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/595.xml,Advanced Topics in Actuarial Science and Risk Analytics
23,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM/598.xml,Literature Seminar
