,number,href,name
0,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/199.xml,Undergraduate Open Seminar
1,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/205.xml,Business Location Decisions
2,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/210.xml,Business Analytics I
3,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/211.xml,Business Analytics II
4,275,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/275.xml,Fundamentals of Operations Management
5,300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/300.xml,The Legal Environment of Bus
6,303,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/303.xml,Principles of Public Policy
7,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/310.xml,Mgmt and Organizational Beh
8,311,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/311.xml,Leading Individuals and Teams
9,312,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/312.xml,Designing and Managing Orgs
10,313,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/313.xml,Strategic Human Resource Management
11,314,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/314.xml,Leading Negotiations
12,320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/320.xml,Principles of Marketing
13,322,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/322.xml,Marketing Research
14,323,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/323.xml,Marketing Communications
15,324,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/324.xml,Purchasing and Supply Mgmnt
16,325,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/325.xml,Consumer Behavior
17,326,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/326.xml,Pricing Strategy
18,329,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/329.xml,New Product Development
19,330,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/330.xml,Brand Management
20,331,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/331.xml,Making Things
21,335,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/335.xml,Supply Chain Management Basics
22,337,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/337.xml,Practicum in Supply Chain Mgt
23,338,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/338.xml,Global Supply Chain Management
24,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/340.xml,Ethical Dilemmas of Business
25,341,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/341.xml,Foundations of Strategic Management
26,346,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/346.xml,Introduction to Entrepreneurship
27,350,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/350.xml,IT for Networked Organizations
28,351,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/351.xml,Social Media Strategy
29,352,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/352.xml,Database Design and Management
30,353,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/353.xml,Info Sys Analysis and Design
31,356,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/356.xml,Data Science and Analytics
32,358,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/358.xml,Big Data Platforms
33,359,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/359.xml,Business Problem Formulation and Solution
34,362,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/362.xml,Introduction to Consumer Analytics
35,366,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/366.xml,Product Design and Development
36,370,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/370.xml,Information Security Management
37,371,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/371.xml,User Interaction/User Experience Design
38,374,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/374.xml,Management Decision Models
39,375,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/375.xml,Operations Strategy
40,378,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/378.xml,Logistics Management
41,379,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/379.xml,Business Process Improvement
42,380,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/380.xml,International Business
43,381,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/381.xml,Multinational Management
44,382,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/382.xml,International Marketing
45,383,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/383.xml,Topics in International Business
46,394,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/394.xml,Senior Research I
47,395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/395.xml,Special Topics
48,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/403.xml,Corporate & Commercial Law
49,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/420.xml,Advanced Marketing Management
50,446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/446.xml,Entrepreneurship: New Venture Creation
51,449,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/449.xml,Business Policy and Strategy
52,453,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/453.xml,Business Intelligence
53,461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/461.xml,"Tech, Eng, & Mgt Final Project"
54,463,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/463.xml,iVenture Accelerator Seminar I: Topics in Entrepreneurship
55,508,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/508.xml,Leadership and Teams
56,509,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/509.xml,Managing Organizations
57,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/510.xml,Founds of Organizational Behav
58,512,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/512.xml,HR Management and Strategy
59,520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/520.xml,Marketing Management
60,523,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/523.xml,Consumer Behavior 4.0: Digital Transformation in Consumer Behavior
61,524,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/524.xml,Pricing Strategy and Analytics
62,525,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/525.xml,New Product Development
63,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/526.xml,Consumer Analytics: Theory and Practice
64,527,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/527.xml,Brand Management
65,539,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/539.xml,Math Models in Marketing
66,541,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/541.xml,Foundations of Strategic Management
67,543,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/543.xml,Technology Strategy
68,544,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/544.xml,Strategic Management
69,546,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/546.xml,Strategy Content Research
70,549,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/549.xml,Current Strategy Research
71,550,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/550.xml,Business Practicum
72,554,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/554.xml,Enterprise Database Management
73,555,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/555.xml,Info Sys Development and Mgt
74,557,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/557.xml,Topics in Business Intelligence
75,558,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/558.xml,Big Data Infrastructures
76,566,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/566.xml,Supply Chain Management
77,567,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/567.xml,Operations Management
78,569,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/569.xml,Res Topics in Operations Mgt
79,572,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/572.xml,Stat for Mgt Decision Making
80,573,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/573.xml,Decision Analytics
81,575,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/575.xml,Supply Chain Analytics
82,576,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/576.xml,Data Science and Analytics
83,582,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/582.xml,Multinational Management
84,584,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/584.xml,Global Marketing
85,588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/588.xml,Business Practice Immersion
86,589,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/589.xml,Project Management
87,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/590.xml,Seminar in Business Admin
88,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/591.xml,Proseminar in Business Admin
89,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/593.xml,Research in Special Fields
90,594,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/594.xml,Independent Study and Research
91,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/599.xml,Dissertation Research
