,number,href,name
0,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/120.xml,Introduction to Bioengineering
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/199.xml,Undergraduate Open Seminar
2,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/200.xml,Bioengineering Career Immersion
3,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/202.xml,Cell & Tissue Engineering Lab
4,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/205.xml,Signals & Systems in Bioengrg
5,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/210.xml,Linear Algebra for Biomedical Data Science
6,297,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/297.xml,Individual Study
7,303,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/303.xml,Quantitative Physiology Lab
8,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/310.xml,Computational Tools for Biological Data
9,360,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/360.xml,Transport & Flow in Bioengrg
10,397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/397.xml,Individual Study
11,400,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/400.xml,Bioengineering Senior Design
12,414,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/414.xml,Biomedical Instrumentation
13,415,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/415.xml,Biomedical Instrumentation Lab
14,416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/416.xml,Biosensors
15,432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/432.xml,Systems Biology: Uncovering Design Principles of Biological Networks
16,434,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/434.xml,Immunoengineering
17,467,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/467.xml,Biophotonics
18,479,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/479.xml,Cancer Nanotechnology
19,481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/481.xml,Whole-Body Musculoskel Biomech
20,484,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/484.xml,Statistical Analysis of Biomedical Images
21,486,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/486.xml,Applied Deep Learning for Biomedical Imaging
22,487,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/487.xml,Stem Cell Bioengineering
23,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/497.xml,Individual Study
24,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/498.xml,Special Topics
25,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/499.xml,Senior Thesis
26,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/500.xml,Graduate Seminar
27,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/526.xml,Advances in Biotechnology
28,570,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/570.xml,Seminar Series
29,572,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/572.xml,Biological Measurement II
30,574,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/574.xml,Innovation and Introduction to Financial Decision Making
31,575,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/575.xml,Capstone Project
32,580,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/580.xml,Foundations of Imaging Science
33,588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/588.xml,Biomedical Image Computing Capstone Project Literature Review
34,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/597.xml,Individual Study
35,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/598.xml,Special Topics
36,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BIOE/599.xml,Thesis Research
