,number,href,name
0,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/205.xml,Undergraduate Honors Research
1,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/210.xml,Introduction to Digital Learning Environments
2,395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/395.xml,Independent Study
3,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/401.xml,Introductory Teaching in a Diverse Society
4,404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/404.xml,Teaching and Assessing Secondary School Students
5,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/407.xml,Theory Practice in Elementary School Teaching II
6,415,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/415.xml,"Language Varieties, Cultures and Learning"
7,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/420.xml,Foundations of Early Childhood Education
8,424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/424.xml,Child Development & Technology
9,432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/432.xml,Investigative Approach to Elementary Mathematics Instruction
10,435,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/435.xml,Technology Applications for Teachers
11,438,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/438.xml,Computer Programming and the Classroom
12,443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/443.xml,Mathematics in Early Childhood Education
13,445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/445.xml,Science and Social Studies Inquiry
14,446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/446.xml,Culture in the Classroom
15,447,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/447.xml,Early Childhood Education Science Content & Methods
16,448,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/448.xml,Teaching Elementary Social Studies
17,451,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/451.xml,Teaching Elementary Science II
18,453,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/453.xml,Professional Learning Community I
19,454,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/454.xml,Professional Learning Community II
20,456,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/456.xml,Classroom Structure
21,465,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/465.xml,Language Literacy in Early Childhood Education I
22,466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/466.xml,Language Literacy in Early Childhood Education II
23,473,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/473.xml,Disciplinary Literacy
24,475,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/475.xml,Teaching Elementary Reading and Language Arts I
25,477,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/477.xml,Bilingual/ESL Methods & Materials
26,487,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/487.xml,Data Structures for Computer Science Teachers
27,489,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/489.xml,Educational Technology Capstone Course
28,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/499.xml,Issues and Development in Education
29,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/501.xml,Curriculum Development for the 21st Century
30,502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/502.xml,Introduction to Reading
31,517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/517.xml,Bilingual and English as a Second Language Assessment
32,519,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/519.xml,Methods of Child Study
33,537,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/537.xml,Discourse in STEM Classrooms
34,539,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/539.xml,Introduction to Educational Data Mining
35,542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/542.xml,Science Education and the Philosophy of Science
36,553,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/553.xml,Critiques of Educational Technology
37,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/590.xml,Seminar for Advanced Study of Education
38,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/591.xml,Field Study & Thesis Seminar
39,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/595.xml,Independent Study
40,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/599.xml,Thesis Research
