,number,href,name
0,610,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/610.xml,"Faith, Medicine, and End-of-Life Care"
1,613,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/613.xml,Introduction to Clinical Practice (Longitudinal)
2,631,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/631.xml,Clinical Elective
3,640,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/640.xml,Family Medicine Clerkship
4,645,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/645.xml,Internal Medicine Clerkship
5,650,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/650.xml,Neurology Clerkship
6,655,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/655.xml,Psychiatry Clerkship
7,660,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/660.xml,Obstetrics & Gynecology Clerkship
8,665,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/665.xml,Pediatrics Clerkship
9,670,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/670.xml,Surgery Clerkship
10,675,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/675.xml,Adult Reconstruction - Hip and Knee
11,680,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/680.xml,Family Medicine Continuity Clinic
12,681,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/681.xml,General Surgery Sub-Internship
13,683,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/683.xml,Pediatrics Sub-Internship
14,684,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/684.xml,Internal Medicine Sub-Internship
15,685,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/685.xml,Anesthesiology Sub-Internship
16,686,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/686.xml,Neurology Sub-Internship
17,687,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/687.xml,Obstetrics and Gynecology Sub-Internship
18,688,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/688.xml,Urology Sub-Internship
19,689,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/689.xml,Family Medicine Sub-Internship
20,690,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/690.xml,Clinical Research
21,692,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/692.xml,Advanced Clinical and Professional Identity
22,693,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/693.xml,Self-designed Clinical Elective
23,694,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/694.xml,Career Boot Camp
24,695,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/695.xml,Inpatient Psychiatry Sub-Internship
25,696,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/696.xml,Psychiatry Consult and Liaison Sub-Internship
26,697,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/697.xml,Current Concepts in Obesity and Metabolic Syndrome
27,702,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/702.xml,Anesthesiology
28,704,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/704.xml,Dermatology
29,706,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/706.xml,Emergency Medicine
30,707,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/707.xml,Emergency Medical Services
31,713,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/713.xml,Palliative Care – Introduction
32,714,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/714.xml,Ambulatory Cardiology
33,715,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/715.xml,Adult Intensive Care
34,716,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/716.xml,Hematology/Oncology
35,717,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/717.xml,Infectious Disease
36,718,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/718.xml,Introduction to the HIV Epidemic: A Clinical and Social Medicine Elective
37,719,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/719.xml,Inpatient Cardiology
38,720,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/720.xml,Gastroenterology
39,721,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/721.xml,Introduction to Ambulatory Cardiology
40,730,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/730.xml,Clinical Genetics
41,731,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/731.xml,Health Systems Leadership
42,732,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/732.xml,Neurosurgery I
43,733,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/733.xml,Neurosurgery II
44,736,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/736.xml,Urogynecology
45,737,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/737.xml,Gynecologic Oncology
46,738,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/738.xml,Reproductive Medicine
47,739,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/739.xml,Advanced Obstetrics
48,740,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/740.xml,Introduction to Ophthalmology
49,741,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/741.xml,Advanced Ophthalmology
50,742,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/742.xml,Plastic and Reconstructive Surgery
51,743,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/743.xml,Orthopedic Trauma
52,744,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/744.xml,Oral & Maxillofacial Surgery I
53,745,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/745.xml,Oral & Maxillofacial Surgery II
