,number,href,name
0,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/120.xml,East Asian Civilizations
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/199.xml,Undergraduate Open Seminar
2,207,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/207.xml,Classical Chinese Lit
3,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/220.xml,Traditional China
4,230,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/230.xml,Popular Cultures of Contemporary East Asia
5,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/250.xml,Intro to Japanese Culture
6,275,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/275.xml,Masterpieces of East Asian Lit
7,287,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/287.xml,Introduction to Buddhism
8,306,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/306.xml,Japan Lit in Translation II
9,320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/320.xml,Sacred Sites in Japan
10,343,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/343.xml,Gov & Pol of China
11,344,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/344.xml,Government and Politics of Japan
12,360,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/360.xml,Seminar in Korean Studies
13,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/390.xml,Individual Study
14,398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/398.xml,Colloquium in EALC
15,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/403.xml,Word and Image in Chinese Art
16,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/420.xml,China Under the Qing Dynasty
17,466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/466.xml,Japanese Cinema
18,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/490.xml,Individual Study
19,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/495.xml,Topics in Asian Religions
20,512,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/512.xml,Applied LiteraryTranslation II
21,522,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/522.xml,Research Seminar: China
22,550,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/550.xml,Seminar in EALC
23,588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/588.xml,Sem Second Lang Learn
24,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/590.xml,Individual Study and Research
25,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/599.xml,Thesis Research
