,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/101.xml,Exploring Digital Info Technol
1,110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/110.xml,Introduction to Electronics
2,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120.xml,Introduction to Computing
3,198,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/198.xml,Special Topics
4,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/199.xml,Undergraduate Open Seminar
5,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/200.xml,Seminar
6,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/205.xml,Electrical and Electronic Circuits
7,206,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/206.xml,Electrical and Electronic Circuits Lab
8,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/210.xml,Analog Signal Processing
9,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/211.xml,Analog Circuits & Systems
10,217,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/217.xml,Solar Car
11,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220.xml,Computer Systems & Programming
12,305,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/305.xml,Quantum Systems I
13,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/310.xml,Digital Signal Processing
14,311,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/311.xml,Digital Signal Processing Lab
15,313,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/313.xml,Probability with Engrg Applic
16,314,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/314.xml,Probability in Engineering Lab
17,316,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/316.xml,Ethics and Engineering
18,329,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/329.xml,Fields and Waves I
19,330,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/330.xml,Power Ckts & Electromechanics
