,number,href,name
0,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/102.xml,Microeconomic Principles
1,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/103.xml,Macroeconomic Principles
2,198,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/198.xml,Economics at Illinois
3,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/199.xml,Undergraduate Open Seminar
4,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/202.xml,Economic Statistics I
5,203,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/203.xml,Economic Statistics II
6,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/210.xml,Environmental Economics
7,298,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/298.xml,Professional Economics Internship
8,302,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302.xml,Inter Microeconomic Theory
9,303,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/303.xml,Inter Macroeconomic Theory
10,399,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/399.xml,Advanced Undergraduate Open Seminar
11,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/402.xml,American Economic History
12,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/418.xml,Health Economics
13,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/420.xml,International Economics
14,422,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/422.xml,International Macroeconomics
15,425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/425.xml,Macroeconomic Policy
16,426,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/426.xml,Monetary Economics and Policy
17,437,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/437.xml,Game Theory
18,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/440.xml,Economics of Labor Markets
19,442,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/442.xml,Women in the Economy
20,447,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/447.xml,Economics of the Workplace
21,448,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/448.xml,Employee Compensation and Incentives
22,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/460.xml,Financial Economics
23,469,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/469.xml,Economics of Risk
24,471,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/471.xml,Intro to Applied Econometrics
25,472,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/472.xml,Financial Econometrics
26,474,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/474.xml,Econometrics of Policy Evaluation
27,475,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/475.xml,Economic Forecasting
28,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/480.xml,Industrial Comp and Monopoly
29,484,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/484.xml,Law and Economics
30,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/490.xml,Topics in Economics
31,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/491.xml,Topics in Econometrics
32,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/501.xml,Macroeconomics
33,503,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/503.xml,Econometrics
34,514,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/514.xml,International Financial
35,517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/517.xml,Monetary Policy
36,533,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/533.xml,Microeconomic Theory II
37,534,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/534.xml,Macroeconomic Theory II
38,535,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/535.xml,Econometric Analysis II
39,542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/542.xml,Collective Bargaining
40,543,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/543.xml,Workplace Dispute Resolution
41,548,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/548.xml,Adv Natural Resource Economics
42,578,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/578.xml,Large Sample Theory
43,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590.xml,Individual Study and Research
44,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/598.xml,Workshop and Research Seminar
45,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/599.xml,Thesis Research
