,number,href,name
0,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/103.xml,Intro to Fiction
1,104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/104.xml,Introduction to Film
2,109,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/109.xml,Intro to Fiction-ACP
3,115,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/115.xml,Intro to British Literature
4,116,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/116.xml,Introduction to American Literature
5,117,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/117.xml,Shakespeare on Film
6,119,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/119.xml,Literature of Fantasy
7,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/199.xml,Undergraduate Open Seminar
8,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/200.xml,Introduction to the Study of Literature and Culture
9,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/202.xml,Medieval Literature and Culture
10,204,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/204.xml,Renaissance Literature and Culture
11,206,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/206.xml,Enlightenment Literature and Culture
12,208,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/208.xml,Victorian Literature and Culture
13,209,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/209.xml,Early British Literature and Culture
14,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/211.xml,Introduction to Modern African Literature
15,213,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/213.xml,Modernist Literature and Culture
16,218,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/218.xml,Introduction to Shakespeare
17,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/221.xml,Speculative Futures
18,224,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/224.xml,Latina/o Popular Culture
19,225,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/225.xml,Intro to Latina/o Literature
20,245,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/245.xml,The Short Story
21,247,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/247.xml,The British Novel
22,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/250.xml,Nineteenth-Century American Fiction
23,255,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/255.xml,Early American Literature and Culture
24,259,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/259.xml,Early African American Literature and Culture
25,260,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/260.xml,Modern African American Literature and Culture
26,265,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/265.xml,Intro to American Indian Lit
27,266,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/266.xml,Grimm's Fairy Tales in Context
28,273,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/273.xml,"American Cinema, 1950-2000"
29,277,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/277.xml,Gender in Gaming
30,285,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/285.xml,Postcolonial Literature in English
31,286,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/286.xml,Asian American Literature
32,290,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/290.xml,Individual Study
33,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/301.xml,Introduction to Critical Theory
34,311,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/311.xml,History of the English Language
35,323,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/323.xml,Tolstoy
36,325,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/325.xml,Topics in LGBT Literature and Film
37,350,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/350.xml,"Writing about Literature, Text, and Culture"
38,357,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL/357.xml,Literatures of the Displaced
