,number,href,name
0,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/201.xml,Foundations of Education
1,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/202.xml,Foundations of Education-ACP
2,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/310.xml,Race and Cultural Diversity
3,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/403.xml,Historical and Social Barriers
4,404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/404.xml,History of American Indian Education
5,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/407.xml,Critical Thinking in Education
6,409,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/409.xml,Sociology of Education
7,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/410.xml,Racial and Ethnic Families
8,421,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/421.xml,Education for Global Environmental Sustainability
9,471,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/471.xml,Business Principles for Human Resource Development
10,472,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/472.xml,Instructional and Training System Design
11,474,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/474.xml,Diversity in the Workplace
12,476,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/476.xml,Project Management Principles and Applications
13,481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/481.xml,New Learning
14,482,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/482.xml,Design and Development of eLearning Systems
15,483,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/483.xml,Learning Technologies
16,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/490.xml,Special Study and Investigation
17,506,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/506.xml,Contemporary Philosophy of Education
18,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/510.xml,Foundations of Aesthetic Education
19,517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/517.xml,"Race, Gender and Sexuality Issues"
20,518,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/518.xml,"Youth, Culture and Society"
21,525,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/525.xml,Global Youth and Citizenship
22,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/526.xml,Education and Power in Middle East
23,528,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/528.xml,Researching Global Education
24,530,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/530.xml,Educational Politics and Policies
25,535,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/535.xml,Introduction to Educational Leadership
26,536,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/536.xml,Leading School Improvement
27,540,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/540.xml,Leading Learning-Centered Schools
28,542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/542.xml,Public School Finance
29,547,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/547.xml,District Change for Equity and Social Justice
30,548,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/548.xml,Human Resource Management at the School District Level
31,552,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/552.xml,Foundation of Higher Education
32,557,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/557.xml,Education and Stratification
33,559,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/559.xml,Higher Education Law
34,560,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/560.xml,Student Affairs Administration
35,562,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/562.xml,Diversity in Higher Education
36,564,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/564.xml,College Student Development
37,570,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/570.xml,Organization Development
38,579,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/579.xml,Adult and Professional Education
39,582,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/582.xml,New Media and Literacies
40,583,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/583.xml,eLearning Ecologies
41,586,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/586.xml,General Field Research Seminar
42,587,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/587.xml,Special Field Research Seminar
43,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/590.xml,Advanced Graduate Seminar
44,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/591.xml,Thesis Seminar
45,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/595.xml,Independent Study
46,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/597.xml,Clinical Experience Administration
47,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/598.xml,"Internship in Education Policy, Organization and Leadership"
48,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/599.xml,Thesis Research
