,number,href,name
0,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/201.xml,Educational Psychology
1,203,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/203.xml,Social Issues Group Dialogues
2,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/220.xml,Career Theory and Practice
3,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/222.xml,Language & Culture of Deaf Communities
4,395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/395.xml,Independent Study
5,398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/398.xml,Thesis
6,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/401.xml,Child Language and Education
7,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/402.xml,Sociocultural Influence on Learning
8,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/403.xml,Research Methods in Learning Sciences
9,405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/405.xml,Personality and Soc Dev
10,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/420.xml,Theories of Psychotherapy
11,427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/427.xml,Learning from Text
12,431,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/431.xml,Cognitive Development in Educational Context
13,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/460.xml,Black Families in Schools
14,471,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/471.xml,Introduction to Evaluation Methods
15,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/480.xml,Educational Statistics
16,486,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/486.xml,Principles of Measurement
17,487,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/487.xml,Principles of Language Testing
18,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/490.xml,Developments in Educational Psychology
19,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/491.xml,Educational Psychology Field Instruction
20,511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/511.xml,Vocational Psychology Theories and Assessment
21,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/515.xml,Multicultural Counseling
22,520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/520.xml,Counseling Psychology Practicum
23,535,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/535.xml,Capstone: Issues in Professional Preparation
24,549,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/549.xml,Secondary Data Analysis
25,559,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/559.xml,Advanced Learning Technologies
26,560,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/560.xml,Technology and Educational Change
27,567,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/567.xml,Personality Assessment
28,581,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/581.xml,Applied Regression Analysis
29,586,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/586.xml,Theories of Measurement II
30,587,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/587.xml,Hierarchical Linear Models
31,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/590.xml,Advanced Seminar in Educational Psychology
32,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/591.xml,Field Study and Thesis Seminar
33,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/595.xml,Independent Study
34,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/599.xml,Thesis Research
