,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/100.xml,Sustainable Earth
1,104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/104.xml,Geology of the National Parks
2,106,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/106.xml,Geographies of Globalization
3,111,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/111.xml,Emergence of Life
4,118,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/118.xml,Natural Disasters
5,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/120.xml,Severe and Hazardous Weather
6,140,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/140.xml,Climate and Global Change
7,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/202.xml,American Environmental History
8,208,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/208.xml,History of the Earth System
9,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/210.xml,Social & Environmental Issues
10,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/222.xml,Big Rivers of the World
11,254,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/254.xml,"People, Places, and Environments of the US"
12,287,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/287.xml,Environment and Society
13,320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/320.xml,"Water Planet, Water Crisis"
14,333,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/333.xml,Earth Materials and the Env
15,350,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/350.xml,Sustainability and the City
16,360,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/360.xml,Environmental Writing
17,379,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/379.xml,Introduction to Geographic Information Systems
18,380,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/380.xml,Geographic Information Systems II
19,389,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/389.xml,Environment and Sustainability Field Expedition
20,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/401.xml,ESE Capstone
21,445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/445.xml,Earth Resources Sustainability
22,466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/466.xml,Environmental Policy
23,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/497.xml,Special Topics in ESE
24,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE/498.xml,Environmental Writing for Publication
