,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/100.xml,Technical Systems in Agr
1,132,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/132.xml,Basics of Project Management
2,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/199.xml,Undergraduate Open Seminar
3,234,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/234.xml,"Wiring, Motors and Control Sys"
4,262,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/262.xml,Agricultural Machine Systems Management
5,293,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/293.xml,Off-Campus Internship
6,295,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/295.xml,Undergrad Research or Thesis
7,311,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/311.xml,Humanity in the Food Web
8,339,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/339.xml,Optimization in Engineering Technology and Management
9,363,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/363.xml,Fluid Power Systems
10,371,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/371.xml,Residential Housing Design
11,381,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/381.xml,Grain Drying & Storage Systems
12,396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/396.xml,UG Honors Research or Thesis
13,421,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/421.xml,Industrial and Agricultural Safety-Injury Prevention
14,425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/425.xml,Managing Industrial and Agricultural Safety Risks
15,438,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/438.xml,Renewable Energy Applications
16,439,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/439.xml,Capstone Experience
17,467,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/467.xml,Precision Agric Technology
18,496,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/496.xml,Independent Study
19,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/499.xml,Seminar
20,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/598.xml,Special Topics
21,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA/599.xml,Thesis Research
