,number,href,name
0,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/199.xml,Undergraduate Open Seminar
1,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221.xml,Corporate Finance
2,230,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/230.xml,Introduction to Insurance
3,241,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/241.xml,Fundamentals of Real Estate
4,300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/300.xml,Financial Markets
5,321,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/321.xml,Advanced Corporate Finance
6,380,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/380.xml,Entrepreneurship through Acquisition
7,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/390.xml,Finance Academy
8,391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/391.xml,Investment Banking Academy
9,392,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/392.xml,Investment Management Academy
10,393,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/393.xml,Risk Management Academy
11,394,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/394.xml,Women in Finance Academy
12,395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/395.xml,Real Estate Finance Academy
13,411,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/411.xml,Investment & Portfolio Mngt
14,412,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/412.xml,Options and Futures Markets
15,415,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/415.xml,Fixed Income Portfolios
16,416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/416.xml,Applied Derivative Strategies
17,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/418.xml,Financial Modeling
18,419,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/419.xml,Real Client Managed Portfolios
19,423,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/423.xml,Entrepreneurial Finance
20,424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/424.xml,Mergers and Acquisition
21,425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/425.xml,Private Equity/Venture Capital
22,432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/432.xml,Managing Market Risks for Financial Institutions
23,434,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/434.xml,Employee Benefit Plans
24,435,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/435.xml,Personal Wealth Management
25,443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/443.xml,Legal Issues in Real Estate
26,445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/445.xml,Real Estate Investment
27,461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/461.xml,Banking and Financial Regulation
28,463,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/463.xml,Investment Banking
29,464,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/464.xml,Applied Financial Analysis
30,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/490.xml,Special Topics in Finance
31,494,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/494.xml,Senior Research
32,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/495.xml,Senior Research
33,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/500.xml,Introduction to Finance
34,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/501.xml,Financial Economics
35,502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/502.xml,Quantitative Finance
36,503,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/503.xml,Quantitative Finance II
37,504,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/504.xml,Accounting for Financial Analysis
38,511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/511.xml,Investments
39,512,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/512.xml,Financial Derivatives
40,513,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/513.xml,Applications of Financial Engineering
41,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/515.xml,Fixed Income Portfolios
42,518,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/518.xml,Financial Modeling
43,521,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/521.xml,Advanced Corporate Finance
44,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/526.xml,Investment Banking
45,529,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/529.xml,Applied Financial Analysis
46,532,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/532.xml,Managing Market Risks for Financial Institutions
47,536,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/536.xml,Banking and Financial Regulation
48,537,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/537.xml,Financial Risk Management
49,543,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/543.xml,Legal Issues in Real Estate
