,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/101.xml,The Science of Food and How it Relates to You
1,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/120.xml,Contemporary Nutrition
2,125,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/125.xml,Intro to Human Nutrition
3,145,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/145.xml,Intro Hospitality Management
4,175,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/175.xml,Science of Fermented Foods
5,193,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/193.xml,Edible Entrepreneurialism - Feeding Ideas for the Future
6,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/199.xml,Undergraduate Open Seminar
7,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/201.xml,Math for Food Science
8,232,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/232.xml,Science of Food Preparation
9,249,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/249.xml,Food Service Sanitation
10,251,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/251.xml,Nutritional Physiology II
11,260,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/260.xml,Raw Materials for Processing
12,292,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/292.xml,Hospitality Management: Professional Issues
13,293,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/293.xml,Off Campus Internship
14,294,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/294.xml,On Campus Internship
15,295,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/295.xml,UG Research or Thesis
16,322,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/322.xml,Nutrition and the Life Cycle
17,329,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/329.xml,Communication in Nutrition
18,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/340.xml,Food Production and Service
19,346,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/346.xml,Foundations of Hotel Management
20,396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/396.xml,UG Honors Research or Thesis
21,398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/398.xml,Undergraduate Seminar
22,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/418.xml,Food Analysis
23,423,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/423.xml,Advances in Foods & Nutrition
24,424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/424.xml,Biopsychology of Ingestive Behavior
25,425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/425.xml,Food Marketing
26,426,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/426.xml,Biochemical Nutrition I
27,427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/427.xml,Biochemical Nutrition II
28,429,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/429.xml,Nutrition Assessment & Therapy
29,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/440.xml,Applied Statistical Methods I
30,442,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/442.xml,Hospitality Management & Leadership Skills
31,443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/443.xml,Management of Fine Dining
32,459,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/459.xml,Nutrition Focused Physical Assessment
33,465,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/465.xml,Principles of Food Technology
34,466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/466.xml,Food Product Development
35,471,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/471.xml,Food & Industrial Microbiology
36,472,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/472.xml,Applied Food Microbiology
37,475,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/475.xml,Science of Fermented Foods Lab
38,481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/481.xml,Food Processing Unit Operations I
39,482,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/482.xml,Food Processing Unit Operations I Lab
40,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/499.xml,Cur Topics in FS & Human Nutr
41,502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/502.xml,Advanced Sensory Science
42,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/510.xml,Topics in Nutrition Research
43,511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/511.xml,Regulation of Metabolism
44,518,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/518.xml,Chemistry of Lipids in Foods
45,520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/520.xml,Advanced Clinical Nutrition
46,522,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/522.xml,Dietary Prevention of Cardiovascular and Other Chronic Diseases
47,524,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/524.xml,Nutritional Counseling and Treatment for Eating Disorders
48,573,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/573.xml,Advanced Food Microbiology
49,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/590.xml,Dietetic Internship I
50,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN/591.xml,Dietetic Internship II
