,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/100.xml,Intro Gender & Women's Studies
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/199.xml,Undergraduate Open Seminar
2,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/201.xml,"Race, Gender & Power"
3,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/202.xml,Sexualities
4,204,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/204.xml,Gender in Gaming
5,215,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/215.xml,US Citizenship Comparatively
6,218,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/218.xml,Intro to Social Issues Theatre
7,235,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/235.xml,Race and the Politics of Reproduction
8,240,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/240.xml,Gender & Sexuality in Greco-Roman Antiquity
9,263,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/263.xml,History of Medicine in the United States
10,275,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/275.xml,The Politics of Fashion
11,288,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/288.xml,Global Islam and Feminisms
12,295,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/295.xml,Beginning Topics GWS
13,305,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/305.xml,"Theories of Race, Gender, and Sexuality"
14,315,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/315.xml,"War, Memory, and Cinema"
15,335,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/335.xml,"Film, TV, and Gender"
16,350,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/350.xml,Feminist & Gender Theory
17,356,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/356.xml,Sex & Gender in Popular Media
18,357,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/357.xml,Literatures of the Displaced
19,387,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/387.xml,History of Sexuality in U.S.
20,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/390.xml,Individual Study
21,395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/395.xml,Intermediate Topics GWS
22,399,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/399.xml,GWS Internship
23,409,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/409.xml,Women's Health
24,415,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/415.xml,Africana Feminisms
25,416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/416.xml,Latinx Feminisms
26,417,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/417.xml,Leading Post-Perform Dialog
27,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/418.xml,Devising Social Issues Theatre
28,425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/425.xml,Minoritarian Aesthetics Practicum
29,432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/432.xml,Gender Communication
30,442,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/442.xml,"Body, Culture & Society"
31,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/490.xml,Individual Study
32,512,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/512.xml,Gender Relations & Intl Dev
33,550,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/550.xml,Feminist Theories & Methods
34,581,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GWS/581.xml,Topics in Queer Studies
