,number,href,name
0,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/199.xml,Undergraduate Open Seminar
1,300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/300.xml,Analysis of Data
2,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/310.xml,Deterministic Models in Optimization
3,330,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/330.xml,Industrial Quality Control
4,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/340.xml,Human Factors
5,361,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/361.xml,Production Planning & Control
6,370,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/370.xml,Stochastic Processes and Applications
7,371,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/371.xml,Simulation Modeling with Applications for Industrial Engineering
8,397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/397.xml,Independent Study
9,413,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/413.xml,Simulation
10,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/420.xml,Financial Engineering
11,421,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/421.xml,High Frequency Trading Technology
12,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/497.xml,Independent Study
13,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/498.xml,Special Topics
14,511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/511.xml,Integer Programming
15,514,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/514.xml,"Optimization Methods for Large-Scale, Network-Based Systems"
16,525,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/525.xml,Stochastic Calculus & Numerical Models in Finance
17,527,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/527.xml,MSFE Professional Development
18,531,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/531.xml,Algorithms for Data Analytics
19,583,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/583.xml,MSFE Practicum Project
20,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/590.xml,Seminar
21,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/597.xml,Independent Study
22,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/598.xml,Special Topics
23,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/599.xml,Thesis Research
