,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/101.xml,Elementary Italian I
1,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/102.xml,Elementary Italian II
2,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/103.xml,Intermediate Italian I
3,104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/104.xml,Intermediate Italian II
4,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/199.xml,Undergraduate Open Seminar
5,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/250.xml,Minority Identities in Film and Culture: The Italian American and African American Experience
6,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/310.xml,Advanced Grammar
7,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/390.xml,Spec Topics Italian Studies
8,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/418.xml,Language & Minorities in Europe
9,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/440.xml,Modern Italian Novel
10,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/460.xml,Principles of Language Testing
11,489,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/489.xml,Theoretical Foundations of SLA
12,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/491.xml,Honors Senior Thesis
13,588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/588.xml,Sem Second Lang Learn
14,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/595.xml,Spec Topics in Italian
15,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ITAL/599.xml,Thesis Research
