,number,href,name
0,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/199.xml,First-Year Seminar
1,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/221.xml,History of the Prison
2,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/222.xml,Islamic Gardens & Architecture
3,234,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/234.xml,Site Design Studio
4,241,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/241.xml,Landform Design & Construction
5,242,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/242.xml,Nature and American Culture
6,281,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/281.xml,Design Communications II
7,314,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/314.xml,History of World Landscapes
8,336,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/336.xml,Design Workshop Studio I
9,343,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/343.xml,Landscape Construction
10,345,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/345.xml,Professional Internship
11,387,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/387.xml,Undergraduate Seminar
12,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/390.xml,Independent Study I
13,430,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/430.xml,Children and Nature
14,434,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/434.xml,Graduate Site Design Studio
15,438,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/438.xml,Design Workshop Studio II
16,446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/446.xml,Sustainable Planning Seminar
17,472,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/472.xml,Museum Theory and Practice
18,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/480.xml,Sustainable Design Principles
19,513,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/513.xml,History of World Landscapes
20,534,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/534.xml,Design Workshop G-I
21,539,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/539.xml,Design Workshop G-II
22,545,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/545.xml,Graduate Internship
23,587,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/587.xml,Graduate Seminar
24,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/590.xml,Directed Research
25,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/597.xml,Research Design & Methods
26,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/598.xml,Master's Project
27,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LA/599.xml,Thesis Research
