,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/101.xml,Design Your First Year Experience
1,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/102.xml,Transfer Advantage
2,195,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/195.xml,Social Innovations for Global Challenges
3,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/199.xml,Undergraduate Open Seminar
4,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/205.xml,International Collaborations for Global impact
5,279,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/279.xml,Writing Job Applications
6,289,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/289.xml,Internship Experience
7,291,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/291.xml,Global Perspectives for Intercultural Learning
8,292,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292.xml,Global Perspectives in Cross-Cultural Contexts
9,299,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/299.xml,LAS Study Abroad
10,302,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/302.xml,Internships and Professional Experiences
11,399,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/399.xml,Leadership & Professional Development
12,494,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/494.xml,Senior Project
