,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT/101.xml,Elementary Latin I
1,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT/102.xml,Elementary Latin II
2,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT/199.xml,Undergraduate Open Seminar
3,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT/201.xml,Intermediate Latin
4,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT/202.xml,Intro to Latin Literature
5,411,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT/411.xml,Intermediate Prose Composition
6,492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT/492.xml,Senior Thesis
7,493,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT/493.xml,Independent Reading
8,511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT/511.xml,Advanced Prose Composition
9,520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT/520.xml,Proseminar
10,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAT/599.xml,Thesis Research
