,number,href,name
0,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/199.xml,Undergraduate Open Seminar
1,303,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/303.xml,Living the Law
2,305,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/305.xml,Art and Cultural Property Law
3,307,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/307.xml,Law and Literature
4,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/499.xml,LAW Study Abroad
5,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/500.xml,LLM Legal Writing and Research
6,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/501.xml,Professional Responsibility
7,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/599.xml,Thesis Research
8,600,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/600.xml,Pro Bono Service
9,601,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/601.xml,Contracts
10,603,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/603.xml,Torts
11,604,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/604.xml,Criminal Law
12,607,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/607.xml,Civil Procedure
13,610,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/610.xml,Introduction to Advocacy
14,615,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/615.xml,Administrative Law
15,616,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/616.xml,Environmental Law and Pol I
16,624,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/624.xml,Real Estate Finance
17,631,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/631.xml,Secured Transactions
18,633,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/633.xml,Business Associations I
19,638,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/638.xml,White Collar Crime
20,642,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/642.xml,Antitrust Law
21,648,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/648.xml,Corporate Taxation
22,656,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/656.xml,International Law
23,657,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/657.xml,International Human Rights Law
24,664,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/664.xml,Employment Discrimination
25,670,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/670.xml,Elder Law
26,679,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/679.xml,Criminal Proc: Adjudication
27,680,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/680.xml,Professional Responsibility
28,682,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/682.xml,Evidence
29,683,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/683.xml,Complex Litigation
30,684,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/684.xml,Federal Courts
31,685,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/685.xml,Dispute Resolution
32,686,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/686.xml,Remedies
33,687,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/687.xml,Jurisprudence
34,692,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/692.xml,Field Placements
35,693,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/693.xml,Clinical Training
36,694,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/694.xml,Trial Advocacy
37,696,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696.xml,Legal Problems
38,697,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/697.xml,Moot Court
39,699,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/699.xml,Independent Study
40,701,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/701.xml,Leadership Project
41,792,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/792.xml,Current Legal Problems
42,793,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/793.xml,Advanced Litigation Topics
43,794,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/794.xml,Adv Topics in Business Law
44,795,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/795.xml,Adv Topics in Criminal Law
45,796,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/796.xml,Comparative Law Topics
46,797,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/797.xml,Intellectual Property Topics
47,798,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/798.xml,Seminars
