,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/100.xml,Introduction to Labor Studies
1,110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/110.xml,Labor and Social Movements
2,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/120.xml,Contemporary Labor Problems
3,130,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/130.xml,Intro Labr Wrkng Class History
4,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/199.xml,Undergraduate Open Seminar
5,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/200.xml,Globalization and Workers
6,300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/300.xml,"Workers, Unions, and Politics"
7,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/440.xml,Economics of Labor Markets
8,521,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/521.xml,"Employment Law for HR Managers: Separations, Worker’s Compensation, and Safety"
9,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/526.xml,Machine Learning Applications in HR
10,532,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/532.xml,Successful Change Management for HR Professionals
11,535,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/535.xml,Negotiation Principles in HR Context
12,536,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/536.xml,Management of Workplace Gender Issues
13,537,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/537.xml,"Employee Stress, Well-Being, & Safety"
14,542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/542.xml,Collective Bargaining
15,543,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/543.xml,Workplace Dispute Resolution
16,544,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/544.xml,Workforce Policies and Partnerships
17,545,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/545.xml,Economics of Human Resources
18,554,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/554.xml,Comparative Employment Relations Systems
19,557,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/557.xml,Human Resources Theory
20,558,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/558.xml,Faculty-Student Workshop
21,561,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/561.xml,Compensation Systems
22,565,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/565.xml,HR Management and Strategy
23,566,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/566.xml,International HR Management
24,567,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/567.xml,Negotiation in HR Decisions
25,569,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/569.xml,Power & Influence in HRM
26,572,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/572.xml,Social Networks in Human Resource Management
27,580,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/580.xml,Internship
28,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/590.xml,Individual Topics
29,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/591.xml,Employment Relations Systems
30,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/593.xml,Quantitative Methods in LER
31,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/595.xml,Managing Diversity Globally
32,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/597.xml,Employee Motivation & Perfmnce
33,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/598.xml,Impl High Perf Work Systems
34,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LER/599.xml,Thesis Seminar
