,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/100.xml,Intro to Language Science
1,115,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/115.xml,Language and Culture in India
2,191,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/191.xml,Freshman Honors Tutorial
3,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/199.xml,Undergraduate Open Seminar
4,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/210.xml,Language History
5,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/221.xml,American Sign Language II
6,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/222.xml,Language in Globalization
7,225,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/225.xml,"Language, Mind, and Brain"
8,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/250.xml,American Voices: Linguistic Diversity in the US
9,270,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/270.xml,"Language, Technology & Society"
10,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/301.xml,Elements of Syntax
11,302,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/302.xml,Elements of Phonology
12,303,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/303.xml,General Speech Science
13,304,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/304.xml,Elements of Morphology
14,307,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/307.xml,Elmnts Semantics & Pragmatics
15,321,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/321.xml,American Sign Language III
16,391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/391.xml,Honors Individual Study
17,400,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/400.xml,Intro to Linguistic Structure
18,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/403.xml,Introduction to Field Methods
19,404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/404.xml,Tutorials in Non-Western Lang
20,406,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/406.xml,Introduction to Computational Linguistics
21,412,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/412.xml,Lang in African Culture & Soc
22,413,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/413.xml,Corpus Linguistics
23,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/418.xml,Language & Minorities in Europe
24,427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/427.xml,Language and the Brain
25,446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/446.xml,Fundamentals for Speech Signal Processing and Analysis
26,448,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/448.xml,Introductory Machine Learning
27,450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/450.xml,Sociolinguistics I
28,489,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/489.xml,Theoretical Foundations of SLA
29,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/490.xml,Special Topics in Linguistics
30,502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/502.xml,Phonology I
31,506,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/506.xml,Topics in Computational Ling
32,514,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/514.xml,Design and Methodology in Linguistic Research
33,541,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/541.xml,Syntax II
34,551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/551.xml,Pragmatics
35,560,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/560.xml,Seminar in Bilingualism
36,588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/588.xml,Sem Second Lang Learn
37,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/591.xml,Seminar in Linguistic Analysis
38,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LING/599.xml,Thesis Research
