,number,href,name
0,530,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MBA/530.xml,Internship
1,531,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MBA/531.xml,Special Projects
2,543,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MBA/543.xml,Digital Media & Marketing
3,545,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MBA/545.xml,Marketing in Our New Digital World
4,548,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MBA/548.xml,Global Strategy
5,551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MBA/551.xml,Strategic Innovation
6,564,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MBA/564.xml,Data Analytics Applications in Business
7,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MBA/590.xml,Specialization Capstone
8,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MBA/597.xml,Program Foundations
9,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MBA/598.xml,Program Capstone
