,number,href,name
0,170,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/170.xml,Computer-Aided Design
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/199.xml,Undergraduate Open Seminar
2,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/200.xml,Thermodynamics
3,270,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270.xml,Design for Manufacturability
4,297,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/297.xml,Introductory Independent Study
5,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310.xml,Fundamentals of Fluid Dynamics
6,320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/320.xml,Heat Transfer
7,330,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/330.xml,Engineering Materials
8,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/340.xml,Dynamics of Mechanical Systems
9,360,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/360.xml,Signal Processing
10,370,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/370.xml,Mechanical Design I
11,371,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/371.xml,Mechanical Design II
12,400,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/400.xml,Energy Conversion Systems
13,404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/404.xml,Intermediate Thermodynamics
14,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/410.xml,Intermediate Gas Dynamics
15,412,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/412.xml,Numerical Thermo-Fluid Mechs
16,445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/445.xml,Introduction to Robotics
17,446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/446.xml,Robot Dynamics and Control
18,452,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/452.xml,Num Control of Mfg Processes
19,455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/455.xml,Micromanufacturing Process & Automation
20,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/460.xml,Industrial Control Systems
21,470,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/470.xml,Senior Design Project
22,471,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/471.xml,Finite Element Analysis
23,481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/481.xml,Whole-Body Musculoskel Biomech
24,483,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/483.xml,Mechanobiology
25,487,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/487.xml,MEMS-NEMS Theory & Fabrication
26,496,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/496.xml,Honors Project
27,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/497.xml,Independent Study
28,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/498.xml,Special Topics
29,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/501.xml,Combustion Fundamentals
30,502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/502.xml,Thermal Systems
31,503,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/503.xml,Design of IC Engines
32,505,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/505.xml,Carbon Capture and Storage
33,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/510.xml,Advanced Gas Dynamics
34,520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/520.xml,Heat Conduction
35,540,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/540.xml,Control System Theory & Design
36,546,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/546.xml,Analysis of Nonlinear Systems
37,547,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/547.xml,Robust and Adaptive Control with Aerospace Applications
38,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/590.xml,Seminar
39,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/597.xml,Independent Study
40,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/598.xml,Special Topics
41,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/599.xml,Thesis Research
