,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/101.xml,Piano
1,105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/105.xml,Voice
2,110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/110.xml,Violin
3,111,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/111.xml,Viola
4,112,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/112.xml,Cello
5,113,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/113.xml,Double Bass
6,114,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/114.xml,Harp
7,115,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/115.xml,Guitar
8,116,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/116.xml,Electric Violin
9,117,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/117.xml,Electric Viola
10,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/120.xml,Flute
11,121,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/121.xml,Oboe
12,122,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/122.xml,Bassoon
13,123,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/123.xml,Clarinet
14,124,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/124.xml,Saxophone
15,125,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/125.xml,Trumpet
16,126,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/126.xml,Horn
17,127,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/127.xml,Trombone
18,128,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/128.xml,Euphonium
19,129,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/129.xml,Tuba
20,130,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/130.xml,Percussion
21,131,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/131.xml,Jazz Voice
22,132,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/132.xml,Jazz Saxophone
23,134,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/134.xml,Jazz Trombone
24,135,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/135.xml,Jazz Piano
25,136,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/136.xml,Jazz Bass
26,137,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/137.xml,Jazz Guitar
27,138,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/138.xml,Jazz Percussion
