,number,href,name
0,302,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/302.xml,Applied Neuroscience
1,405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/405.xml,Cognitive Neuroscience
2,414,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/414.xml,"Brain, Learning, and Memory"
3,432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/432.xml,Genes and Behavior
4,445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/445.xml,Cognitive Neuroscience Lab
5,462,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/462.xml,Integrative Neuroscience
6,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/500.xml,Topics in Neuroscience
7,520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/520.xml,Advanced Topics in Neuroscience
8,543,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/543.xml,Interdisciplinary Approaches to Neuroscience II
9,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/590.xml,Indiv Topics Neuroscience
10,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598.xml,Proseminar in Psychology
11,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/599.xml,Thesis Research
