,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/100.xml,Fundamentals of Env Sci
1,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/101.xml,Wildlife Conservation in the 21st Century
2,105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/105.xml,Climate Change Impacts on Ecological Systems
3,108,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/108.xml,Env Sc & Nat Resource Careers
4,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/201.xml,Introductory Soils
5,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/202.xml,American Environmental History
6,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/210.xml,Environmental Economics
7,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/220.xml,Communicating Agriculture
8,242,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/242.xml,Nature and American Culture
9,285,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/285.xml,Field Experience
10,287,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/287.xml,Environment and Society
11,293,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/293.xml,Professional Internship
12,294,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/294.xml,Resident Internship
13,295,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/295.xml,Undergrad Research or Thesis
14,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/310.xml,Natural Resource Economics
15,325,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/325.xml,Natural Resource Policy Mgmt
16,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/340.xml,Environ Social Sci Res Meth
17,362,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/362.xml,Ecology of Invasive Species
18,396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/396.xml,UG Honors Research or Thesis
19,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/407.xml,Wildlife Population Ecology
20,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/420.xml,Restoration Ecology
21,421,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/421.xml,Quantitative Methods in NRES
22,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/440.xml,Applied Statistical Methods I
23,446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/446.xml,Sustainable Planning Seminar
24,455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/455.xml,Advanced GIS for Environmental Management
25,456,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/456.xml,Integrative Ecosystem Management
26,461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/461.xml,Ornithology
27,464,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/464.xml,Herpetology
28,474,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/474.xml,Soil and Water Conservation
29,477,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/477.xml,Introduction to Remote Sensing
30,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/480.xml,Human-Wildlife Interactions
31,488,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/488.xml,Soil Fertility and Fertilizers
32,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/499.xml,Special Topics
33,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/500.xml,Graduate Seminar
34,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/501.xml,Special Problems
35,502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/502.xml,Research Methods in NRES
36,503,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/503.xml,Capstone Research Project
37,504,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/504.xml,Critical Issues Recreation Mgt
38,505,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/505.xml,Capstone Internship Experience
39,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/510.xml,Adv Natural Resource Economics
40,511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/511.xml,Principles of Applied Ecology
41,512,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/512.xml,Discussions in NRES
42,516,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/516.xml,Ecosystem Biogeochemistry
43,517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/517.xml,Advanced Wetland Theory and Techniques
44,527,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/527.xml,Wetland Science and Conservation in Context
45,592,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/592.xml,Sustainable Urban Systems
46,594,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/594.xml,NRES Professional Orientation
47,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/598.xml,Experimental Graduate Courses
48,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES/599.xml,Thesis Research
