,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/100.xml,Intro to Philosophy-ACP
1,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/101.xml,Introduction to Philosophy
2,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/102.xml,Logic and Reasoning
3,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/103.xml,Logic and Reasoning QR II
4,104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/104.xml,Intro to Ethics-ACP
5,105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/105.xml,Introduction to Ethics
6,107,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/107.xml,Intro to Political Philosophy
7,109,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/109.xml,Religion & Society in West II
8,110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110.xml,World Religions
9,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/199.xml,Undergraduate Open Seminar
10,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/202.xml,Symbolic Logic
11,203,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/203.xml,Ancient Philosophy
12,206,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/206.xml,Early Modern Philosophy
13,219,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/219.xml,"Philosophy of Class, Gender, and Race"
14,231,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/231.xml,Religion and Philosophy
15,307,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/307.xml,Elmnts Semantics & Pragmatics
16,316,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/316.xml,Ethics and Engineering
17,380,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/380.xml,Current Controversies
18,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/390.xml,Individual Study
19,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/410.xml,Classical Ancient Philosophers
20,411,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/411.xml,Nineteenth Century Philosophy
21,412,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/412.xml,Classical Modern Philosophers
22,419,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/419.xml,"Space, Time, and Matter-ACP"
23,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/420.xml,"Space, Time, and Matter"
24,421,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/421.xml,Ethical Theories
25,424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/424.xml,Philosophy of Religion
26,426,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/426.xml,Metaphysics
27,439,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/439.xml,Philosophy of Mathematics
28,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/440.xml,Ethics of Artificial Intelligence
29,442,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/442.xml,The AI Revolution
30,443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/443.xml,Phenomenology
31,454,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/454.xml,Advanced Symbolic Logic
32,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/460.xml,Philosophy of Statistics
33,492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/492.xml,Thesis
34,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/499.xml,Capstone Seminar
35,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/501.xml,Seminar on the History of Philosophy
36,511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/511.xml,Seminar Ethical Theory
37,521,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/521.xml,Seminar Contemporary Problems
38,551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/551.xml,Pragmatics
39,583,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/583.xml,Individual Topics
40,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/590.xml,Directed Research
