,number,href,name
0,150,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT/150.xml,Writing Brazilians into the U.S.
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT/199.xml,Undergraduate Open Seminar
2,400,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT/400.xml,Intensive Beginning Portuguese
3,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT/401.xml,Intensive Intermediate Portuguese
4,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT/402.xml,Advanced Grammar
5,404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT/404.xml,Studies in Luso-Brazilian Culture
6,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT/460.xml,Principles of Language Testing
7,489,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT/489.xml,Theoretical Foundations of SLA
8,588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT/588.xml,Sem Second Lang Learn
9,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT/595.xml,Special Topics Port & Braz Lit
10,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT/599.xml,Thesis Research
