,number,href,name
0,109,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/109.xml,Religion & Society in West II
1,110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110.xml,World Religions
2,112,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/112.xml,Elementary Greek II
3,115,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/115.xml,Language and Culture in India
4,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/120.xml,A History of Judaism
5,160,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/160.xml,Ancient Greek & Roman Religion
6,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/201.xml,Hebrew Bible in English
7,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/202.xml,New Testament in English
8,208,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/208.xml,Cultures & Literatures of South Asia
9,212,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/212.xml,History of Antisemitism
10,214,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/214.xml,Introduction to Islam
11,231,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/231.xml,Religion and Philosophy
12,260,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/260.xml,Mystics and Saints in Islam
13,286,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/286.xml,Introduction to Hinduism
14,287,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/287.xml,Introduction to Buddhism
15,320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/320.xml,Responses to the Holocaust
16,332,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/332.xml,Interfaith Service and Theory
17,344,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/344.xml,Jewish Intellectual History: Encounters with Islam and Christianity
18,494,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/494.xml,Topics in Religious Thought
19,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/495.xml,Topics in Asian Religions
20,511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/511.xml,Seminar in Study of Religion
21,520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/520.xml,"Hindu Pilgrimage, Power & Place"
22,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/590.xml,Independent Study
