,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/100.xml,"Recreation, Sport, and Tourism in Modern Society"
1,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/101.xml,"Orientation to Recreation, Sport and Tourism"
2,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/120.xml,"Parks, Recreation, and Environments"
3,130,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/130.xml,Foundations of Sport Mgt
4,180,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/180.xml,Professional Applications
5,185,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/185.xml,Professional Field Experiences
6,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/199.xml,Undergraduate Open Seminar
7,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/200.xml,"Leadership in Recreation, Sport and Tourism"
8,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/205.xml,Issues in Intercollegiate Athletics: The Big Ten Conference
9,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/210.xml,"Management in Recreation, Sport and Tourism"
10,216,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/216.xml,"Technology in Recreation, Sport and Tourism"
11,224,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/224.xml,Politics of the National Parks
12,225,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/225.xml,Environmental Politics & Policy
13,230,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/230.xml,"Diversity in Recreation, Sport, and Tourism"
14,240,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/240.xml,"Financial Resource Management in Recreation, Sport and Tourism"
15,242,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/242.xml,Nature and American Culture
16,255,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/255.xml,"Ethical Issues in Recreation, Sport and Tourism"
17,260,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/260.xml,"Disability in Recreation, Sport and Tourism"
18,280,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/280.xml,"Practicum in Recreation, Sport and Tourism"
19,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/301.xml,Sport Brand Management
20,316,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/316.xml,"Human Development and Recreation, Sport and Tourism"
21,325,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/325.xml,"Marketing in Recreation, Sport and Tourism"
22,335,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/335.xml,Leisure and Consumer Culture
23,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/340.xml,"Facility Management in Recreation, Sport and Tourism"
24,350,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/350.xml,Tourism and Culture
25,354,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/354.xml,Legal Aspects of Sport
26,370,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/370.xml,Research Methods & Analysis
27,393,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/393.xml,Special Problems
28,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/407.xml,Sport Analytics: Data-Driven Decision Making
29,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/410.xml,"Strategic Management in Recreation, Sport and Tourism"
30,429,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/429.xml,"Contemporary Issues in Recreation, Sport and Tourism"
31,430,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/430.xml,Sport & Development
32,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/440.xml,HR Management in RST
33,441,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/441.xml,Community Planning and Engagement
34,465,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/465.xml,"Event Implementation and Evaluation in Recreation, Sport and Tourism"
35,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/480.xml,Orientation to Internship
36,485,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/485.xml,Internship
37,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/501.xml,"Foundations and Current Issues in Recreation, Sport & Tourism"
38,502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/502.xml,Critical Issues Recreation Mgt
39,504,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/504.xml,Applied Evaluation and Needs Assessment in RST
40,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/515.xml,Marketing in RST
41,516,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/516.xml,"Financial Management and Budgeting in Recreation, Sport & Tourism"
42,519,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/519.xml,Strategic Management in RST
43,551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/551.xml,Contemporary Issues in Leisure
44,587,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/587.xml,Sport and Development
45,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/590.xml,Doctoral Research Seminar and Colloquium
46,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/593.xml,Special Problems
47,594,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/594.xml,Special Topics in Leisure
48,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/599.xml,Thesis Research
