,number,href,name
0,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/102.xml,First-Year Russian II
1,122,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/122.xml,Russia and Black America
2,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/199.xml,Undergraduate Open Seminar
3,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/202.xml,Second-Year Russian II
4,219,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/219.xml,Russian Cinema Survey
5,225,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/225.xml,Russian Lit and Revolution
6,290,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/290.xml,Readings in Russian
7,302,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/302.xml,Third Year Russian II
8,320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/320.xml,Russian Writers
9,323,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/323.xml,Tolstoy
10,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/402.xml,Fourth Year Russian II
11,493,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/493.xml,Honors Senior Thesis
12,520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS/520.xml,Russian Writers
