,number,href,name
0,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/120.xml,"Child, Comm, & Lang Ability"
1,121,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/121.xml,American Sign Language I
2,170,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/170.xml,Intro Hum Comm Sys & Disorders
3,191,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/191.xml,Freshmen Seminar
4,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/199.xml,Undergraduate Open Seminar
5,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/200.xml,General Phonetics
6,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/221.xml,American Sign Language II
7,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/222.xml,Language & Culture of Deaf Communities
8,240,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/240.xml,Intro Sound & Hearing Science
9,271,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/271.xml,Communication and Aging
10,291,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/291.xml,Research Lab Experience in SHS
11,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/301.xml,General Speech Science
12,321,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/321.xml,American Sign Language III
13,352,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/352.xml,Hearing Health and Society
14,375,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/375.xml,Communication Partners and Health
15,380,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/380.xml,Comm Competence and Disorders
16,385,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/385.xml,Interpreting Clinical Research in Speech & Hearing Science
17,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/390.xml,Individual Study
18,395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/395.xml,Honors Individual Study
19,427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/427.xml,Language and the Brain
20,473,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/473.xml,Augmentative & Alternative Communication
21,475,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/475.xml,Prepracticum in SHS
22,477,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/477.xml,Beginning Practicum in Speech-Language Pathology
23,481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/481.xml,Creating and Procuring Accessible Electronic Materials
24,482,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/482.xml,Designing Universally Accessible Web Resources
25,511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/511.xml,Assessment and Management of Voice Disorders
26,532,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/532.xml,Language Disorders & Literacy in School-Age Children & Youth
27,533,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/533.xml,Approaches to Language Diagnostics and Clinical Reasoning
28,534,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/534.xml,Aphasia and Related Disorders
29,540,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/540.xml,Psychoacoustics
30,551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/551.xml,Auditory Electrophysiology I
31,552,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/552.xml,Diagnosing Hearing Impairment in Infants and Children
32,553,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/553.xml,Amplification I
33,554,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/554.xml,Advanced Audiological Assess
34,556,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/556.xml,Amplification II
35,557,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/557.xml,Advanced Clinical Practicum in Audiological Assessment and Rehabilitation
36,561,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/561.xml,Medical Audiology
37,562,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/562.xml,Educational Audiology
38,563,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/563.xml,Amplification Lab
39,574,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/574.xml,Communication in Individuals with Autism Spectrum Disorders
40,575,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/575.xml,School Methods in Speech-Language Pathology
41,576,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/576.xml,School Intrnshp Spch-Lang Path
42,577,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/577.xml,Advanced Practicum in Speech-Language Pathology
43,578,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/578.xml,Medical Methods in Speech-Language Pathology
44,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/591.xml,Clinical Case Project in Communication Sciences and Disorders
45,592,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/592.xml,Prosem Spch & Hear Sci
46,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/593.xml,Special Problems
47,594,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/594.xml,PhD Early Research Project
48,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/595.xml,Audiology Clinical Practicum Full-Time Externship
49,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS/599.xml,Thesis Research
