,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100.xml,Introduction to Sociology
1,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/101.xml,Sociology of Gender
2,130,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/130.xml,Intro Gender & Women's Studies
3,180,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/180.xml,Stress and Health in African American Communities
4,196,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/196.xml,Issues in Sociology
5,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/199.xml,Undergraduate Open Seminar
6,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/200.xml,Introduction to Sociological Theory
7,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/201.xml,"Race, Gender & Power"
8,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/202.xml,Sexualities
9,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/222.xml,Introduction to Modern Africa
10,225,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/225.xml,Race and Ethnicity
11,226,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/226.xml,Political Sociology
12,230,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/230.xml,The Sociology of Political Polarization: Bigots and Snowflakes
13,274,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/274.xml,"Health, Illness and Society"
14,275,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/275.xml,Criminology
15,280,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/280.xml,Intro to Social Statistics
16,355,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/355.xml,Race and Mixed Race
17,375,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/375.xml,Criminal Justice System
18,380,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/380.xml,Social Research Methods
19,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/390.xml,Individual Study
20,396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/396.xml,Topics in Sociology
21,400,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/400.xml,Internships
22,450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/450.xml,Senior Capstone Seminar
23,473,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/473.xml,"Immigration, Health & Society"
24,479,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/479.xml,Law and Society
25,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/480.xml,Methods of Field Research
26,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/490.xml,Advanced Independent Study
27,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/495.xml,Senior Honors Seminar
28,496,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/496.xml,Advanced Topics in Sociology
29,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/501.xml,Contemp Sociological Theory
30,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/510.xml,Professionalization Seminar
31,563,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/563.xml,Global Social Movements
32,575,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/575.xml,Founds of Organizational Behav
33,583,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/583.xml,Qualitative Research Methods
34,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/590.xml,Individual Topics in Sociology
35,596,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/596.xml,Recent Developments in Soc
36,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/597.xml,Readings in Sociology
37,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/598.xml,Thesis Proposal
38,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/599.xml,Thesis Research
