,number,href,name
0,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/199.xml,Undergraduate Open Seminar
1,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/200.xml,Introduction to Social Work
2,240,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/240.xml,Death & Dying
3,297,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/297.xml,Asian Families in America
4,299,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/299.xml,Study Abroad
5,300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/300.xml,Diversity: Identities & Issues
6,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/310.xml,UG Research Assistance
7,330,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/330.xml,International Perspectives
8,370,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/370.xml,Social Work and Disability Studies
9,380,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/380.xml,Current Topics in Social Work
10,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/401.xml,Practice I
11,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/402.xml,Practice II
12,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/403.xml,Practice III
13,404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/404.xml,Social Work Case Management Practice
14,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/410.xml,Social Welfare Pol and Svcs
15,416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/416.xml,Child Welfare Issues & Trends
16,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/418.xml,Independent Study
17,427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/427.xml,Social Work Research Methods
18,451,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/451.xml,HBSE I: Human Development
19,456,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/456.xml,Philanthropy & Social Justice
20,461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/461.xml,Professional Practice Seminar I
21,470,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/470.xml,Field Practicum & Professional Seminar II
22,473,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/473.xml,"Immigration, Health & Society"
23,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/480.xml,UG Research Project
24,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/500.xml,SW Practice with Indiv and Fam
25,503,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/503.xml,Trauma Informed Social Work with Children and Adolescents
26,507,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/507.xml,School Social Work Practice
27,508,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/508.xml,Family Therapy Seminar
28,509,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/509.xml,Adv Clin Assess & Interviewing
29,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/510.xml,"Theories of Diversity, Inequality, and Social Change"
30,514,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/514.xml,Mental Health Pol and Svcs
31,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/515.xml,Integrated Health Care Policy and Services
32,516,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/516.xml,"Child, Youth and Family Svcs"
33,519,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/519.xml,Public School Policy/Services
34,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/526.xml,Managing Human Service Orgs
35,531,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW/531.xml,Field Practicum and Integrative Seminar I
