,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/101.xml,Elementary Spanish I
1,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/102.xml,Elementary Spanish II
2,122,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/122.xml,Intensive Elementary Spanish
3,130,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130.xml,Intermediate Spanish
4,141,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/141.xml,Introduction to Spanish Grammar
5,142,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/142.xml,Spanish in the Professions
6,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/199.xml,Undergraduate Open Seminar
7,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/200.xml,Readings in Hispanic Texts
8,204,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/204.xml,Advanced Spanish Grammar in Context
9,208,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/208.xml,Oral Spanish
10,228,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/228.xml,Spanish Composition
11,232,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/232.xml,Spanish in the Community
12,240,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/240.xml,Latina/o Popular Culture
13,242,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/242.xml,Intro to Latina/o Literature
14,248,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248.xml,"Latin American Diaspora through Film: Beyond Braceros, Narcos, and Latin Lovers"
15,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/250.xml,Approaches to Literature
16,252,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/252.xml,Introduction to Hispanic Linguistics
17,254,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/254.xml,Approaches to Culture
18,303,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/303.xml,The Sounds of Spanish
19,305,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/305.xml,The Structure of Spanish
20,307,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/307.xml,Bilingualism
21,308,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/308.xml,Spanish in the United States
22,309,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/309.xml,Global Varieties of Spanish
23,312,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/312.xml,Modern Spanish Literatures & Cultures
24,320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/320.xml,Spanish Cultural Studies II
25,326,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/326.xml,Latin America Cultural Studies II
26,332,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/332.xml,Spanish and Entrepreneurship
27,399,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/399.xml,Advanced Study Abroad
28,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/418.xml,Language & Minorities in Europe
29,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/460.xml,Principles of Language Testing
30,463,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/463.xml,18-19thC Spanish Studies
31,466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/466.xml,Colonial Spanish American Studies
32,489,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/489.xml,Theoretical Foundations of SLA
33,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/490.xml,Advanced Readings in Spanish
34,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/491.xml,Topics for Honors Students
35,535,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/535.xml,Sem Spanish-American Lit
36,588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/588.xml,Sem Second Lang Learn
37,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/590.xml,Topics in Hispanic Studies
38,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/595.xml,Special Topics in Spanish
39,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/599.xml,Thesis Research
