,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/100.xml,Statistics
1,107,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/107.xml,Data Science Discovery
2,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/200.xml,Statistical Analysis
3,207,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/207.xml,Data Science Exploration
4,212,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/212.xml,Biostatistics
5,361,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/361.xml,Probability & Statistics for Computer Science
6,385,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/385.xml,Statistics Programming Methods
7,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/390.xml,Individual Study
8,391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/391.xml,Honors Individual Study
9,400,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400.xml,Statistics and Probability I
10,408,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/408.xml,Actuarial Statistics I
11,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/410.xml,Statistics and Probability II
12,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/420.xml,Methods of Applied Statistics
13,424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/424.xml,Design of Experiments
14,425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/425.xml,Statistical Modeling I
15,426,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/426.xml,Statistical Modeling II
16,427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/427.xml,Statistical Consulting
17,428,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/428.xml,Statistical Computing
18,429,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/429.xml,Time Series Analysis
19,430,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/430.xml,Topics in Applied Statistics
20,431,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/431.xml,Applied Bayesian Analysis
21,432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/432.xml,Basics of Statistical Learning
22,433,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/433.xml,Stochastic Processes
23,434,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/434.xml,Survival Analysis
24,437,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/437.xml,Unsupervised Learning
25,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/440.xml,Statistical Data Management
26,443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/443.xml,Professional Statistics
27,447,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/447.xml,Data Science Programming Methods
28,448,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/448.xml,Advanced Data Analysis
29,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/510.xml,Mathematical Statistics
30,525,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/525.xml,Topics in Computational Statistics
31,528,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/528.xml,Advanced Regression Analysis II
32,530,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/530.xml,Bioinformatics
33,541,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/541.xml,Advanced Predictive Analytics
34,542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/542.xml,Statistical Learning
35,545,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/545.xml,Spatial Statistics
36,551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/551.xml,Theory of Probability I
37,554,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/554.xml,Probability and Measure II
38,575,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/575.xml,Large Sample Theory
39,578,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/578.xml,Topics in Statistics
40,587,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/587.xml,Hierarchical Linear Models
41,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/590.xml,Individual Study and Research
42,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/593.xml,STAT Internship
