,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/100.xml,"Introduction to Innovation, Leadership and Engineering Entrepreneurship"
1,198,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/198.xml,Special Topics
2,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/250.xml,From Idea to Enterprise
3,333,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/333.xml,"Creativity, Innovation, Vision"
4,360,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/360.xml,Lectures in Engineering Entrepreneurship
5,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/390.xml,Innovation and Engineering Design
6,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/401.xml,Developing Breakthrough Projects
7,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/440.xml,Engineering City Scholars
8,441,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/441.xml,Engineering City Scholars: New Venture Creation
9,450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/450.xml,"Startups: Incorporation, Funding, Contracts, & Intellectual Property"
10,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/460.xml,Lectures in Engineering Entrepreneurship
11,461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/461.xml,Technology Entrepreneurship
12,462,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/462.xml,Leading Sustainable Change
13,466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/466.xml,High-Tech Venture Marketing
14,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/498.xml,Special Topics III
15,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/510.xml,Advanced Creativity
16,565,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/565.xml,Technol Innovation & Strategy
17,566,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/566.xml,Finance for Engineering Mgmt
18,567,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/567.xml,Venture Funded Startups
19,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE/598.xml,Special Topics IV
