,number,href,name
0,603,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM/603.xml,Structure and Function II
1,604,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM/604.xml,Structure and Function III
2,606,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM/606.xml,Clinical Practice II
3,608,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM/608.xml,Pathobiology III
4,612,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM/612.xml,Clinical Practice III
5,616,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM/616.xml,Clinical Practice VII
6,617,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM/617.xml,Professional Development
7,642,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM/642.xml,Contemporary Issues in Vet Med
8,645,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM/645.xml,Communications in Practice
9,655,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM/655.xml,Small Animal Medicine and Surgery III
10,656,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM/656.xml,Large Animal Medicine and Surgery III
