,crn,href,section_name
0,60044,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410/60044.xml,A3 
1,65522,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410/65522.xml,A4 
2,60045,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410/60045.xml,B3 
3,66490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410/66490.xml,B4 
4,61733,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410/61733.xml,C3 
5,65523,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410/65523.xml,C4 
6,61734,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410/61734.xml,D3 
7,65524,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410/65524.xml,D4 
8,61758,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410/61758.xml,F3 
9,65526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410/65526.xml,F4 
10,61759,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410/61759.xml,G3 
11,65527,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410/65527.xml,G4 
