,crn,href,section_name
0,54459,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461/54459.xml,AB1
1,65708,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461/65708.xml,AB2
2,65709,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461/65709.xml,AB3
3,65710,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461/65710.xml,AB4
4,65711,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461/65711.xml,AB5
5,65712,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461/65712.xml,AB6
6,65713,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461/65713.xml,AB7
7,66000,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461/66000.xml,AB8
8,76169,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461/76169.xml,AB9
9,76170,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461/76170.xml,ABA
10,77356,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461/77356.xml,ABB
11,54458,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE/461/54458.xml,AS1
