,crn,href,section_name
0,76367,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/474/76367.xml,ABC
1,71792,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/474/71792.xml,B  
2,71793,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/474/71793.xml,C  
3,71784,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/474/71784.xml,E0 
4,71785,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/474/71785.xml,E1 
5,71786,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/474/71786.xml,E2 
6,71787,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/474/71787.xml,E3 
7,71788,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/474/71788.xml,E4 
8,71789,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/474/71789.xml,E5 
9,71790,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/474/71790.xml,E6 
