,crn,href,section_name
0,31082,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/449/31082.xml,A  
1,31084,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/449/31084.xml,B  
2,31181,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/449/31181.xml,E  
3,31188,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/449/31188.xml,I  
4,31194,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/449/31194.xml,L  
5,31198,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/449/31198.xml,M  
6,31203,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/449/31203.xml,O  
7,31212,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/449/31212.xml,P  
8,31215,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/449/31215.xml,R  
9,31217,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/449/31217.xml,S  
10,31220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/449/31220.xml,T  
