,crn,href,section_name
0,31488,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31488.xml,B1 
1,31492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31492.xml,C1 
2,31486,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31486.xml,C2 
3,65192,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/65192.xml,D1 
4,31537,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31537.xml,D2 
5,46085,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/46085.xml,E1 
6,31513,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31513.xml,F1 
7,31499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31499.xml,F2 
8,65194,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/65194.xml,F3 
9,31519,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31519.xml,G1 
10,51862,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/51862.xml,G2 
11,31534,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31534.xml,H1 
12,44318,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/44318.xml,I1 
13,31523,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31523.xml,M1 
14,51860,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/51860.xml,M2 
15,31526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31526.xml,P1 
16,31490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31490.xml,P2 
17,70301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/70301.xml,P3 
18,31530,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31530.xml,Q1 
19,70962,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/70962.xml,Q2 
20,51859,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/51859.xml,Q3 
21,31535,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31535.xml,S1 
22,46086,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/46086.xml,S2 
23,31522,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31522.xml,S3 
24,31485,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31485.xml,T1 
25,70298,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/70298.xml,T2 
26,31528,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31528.xml,U1 
27,31507,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/31507.xml,V1 
28,46082,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BTW/250/46082.xml,X1 
