,crn,href,section_name
0,45020,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/45020.xml,CFM
1,50392,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/50392.xml,CFO
2,39737,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/39737.xml,CR 
3,58138,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/58138.xml,CRC
4,44458,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/44458.xml,CRO
5,31761,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/31761.xml,ET 
6,57673,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/57673.xml,ETO
7,31759,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/31759.xml,PIM
8,57676,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/57676.xml,PIO
9,59655,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/59655.xml,RVD
10,41685,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/41685.xml,RVO
11,46695,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/46695.xml,TB 
12,50278,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/50278.xml,TBC
13,50283,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CEE/598/50283.xml,TBO
