,crn,href,section_name
0,68534,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/68534.xml,LEC
1,39119,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/39119.xml,X10
2,32380,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32380.xml,X11
3,39116,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/39116.xml,X12
4,32395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32395.xml,X13
5,32372,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32372.xml,X14
6,32373,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32373.xml,X15
7,32375,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32375.xml,X16
8,32377,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32377.xml,X17
9,32378,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32378.xml,X18
10,32379,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32379.xml,X19
11,32381,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32381.xml,X20
12,32382,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32382.xml,X21
13,32383,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32383.xml,X22
14,32384,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32384.xml,X23
15,32385,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32385.xml,X24
16,32386,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32386.xml,X25
17,32387,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32387.xml,X26
18,32388,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32388.xml,X27
19,32389,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32389.xml,X28
20,32390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32390.xml,X29
21,43155,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/43155.xml,X30
22,32420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32420.xml,X31
23,32391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32391.xml,X32
24,32392,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32392.xml,X33
25,32393,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32393.xml,X34
26,32394,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32394.xml,X35
27,32396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32396.xml,X36
28,32397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32397.xml,X37
29,32417,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32417.xml,X38
30,32419,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32419.xml,X39
31,32425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32425.xml,X40
32,32426,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32426.xml,X41
33,32428,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32428.xml,X42
34,32430,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32430.xml,X43
35,32432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32432.xml,X44
36,32439,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32439.xml,X45
37,32440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32440.xml,X46
38,32441,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32441.xml,X47
39,32442,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32442.xml,X48
40,32443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32443.xml,X49
41,32444,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32444.xml,X50
42,32445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/32445.xml,X51
43,39117,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/39117.xml,X52
44,39118,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/39118.xml,X53
45,43152,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/43152.xml,X54
46,43154,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/43154.xml,X55
47,43156,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/43156.xml,X56
48,43157,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105/43157.xml,X57
