,crn,href,section_name
0,31319,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/31319.xml,ADA
1,31320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/31320.xml,ADB
2,31321,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/31321.xml,ADC
3,31322,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/31322.xml,ADD
4,31323,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/31323.xml,ADE
5,31324,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/31324.xml,ADF
6,31325,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/31325.xml,ADG
7,31327,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/31327.xml,ADI
8,31328,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/31328.xml,ADJ
9,31330,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/31330.xml,ADL
10,38766,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/38766.xml,ADM
11,38767,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/38767.xml,ADN
12,52436,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/52436.xml,ADP
13,38757,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115/38757.xml,AL1
