,crn,href,section_name
0,50462,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50462.xml,A1 
1,50465,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50465.xml,B2 
2,50466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50466.xml,B3 
3,50469,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50469.xml,C2 
4,50470,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50470.xml,C3 
5,50471,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50471.xml,C4 
6,50479,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50479.xml,C5 
7,50527,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50527.xml,C6 
8,50482,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50482.xml,D2 
9,50483,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50483.xml,D3 
10,50484,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50484.xml,D4 
11,50485,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50485.xml,D5 
12,58526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/58526.xml,D6 
13,50486,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50486.xml,E1 
14,58528,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/58528.xml,E2 
15,58531,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/58531.xml,E3 
16,50489,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50489.xml,E4 
17,50490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50490.xml,F1 
18,58532,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/58532.xml,F3 
19,50498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50498.xml,F4 
20,50497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50497.xml,F5 
21,50506,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50506.xml,G1 
22,58492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/58492.xml,H1 
23,58530,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/58530.xml,L1 
24,50501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50501.xml,M1 
25,50502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50502.xml,M2 
26,50503,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50503.xml,M3 
27,50487,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50487.xml,NN1
28,58536,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/58536.xml,NN2
29,50517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50517.xml,NN3
30,50505,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50505.xml,P1 
31,58529,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/58529.xml,P2 
32,50507,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50507.xml,P3 
33,50509,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50509.xml,P4 
34,50511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50511.xml,Q1 
35,50512,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50512.xml,Q2 
36,50518,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50518.xml,Q3 
37,50519,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50519.xml,Q5 
38,50520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50520.xml,R1 
39,50521,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50521.xml,R2 
40,50467,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50467.xml,R3 
41,51547,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/51547.xml,S1 
42,50522,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50522.xml,U1 
43,50523,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50523.xml,W1 
44,50508,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50508.xml,WE 
45,50524,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101/50524.xml,Z1 
