,crn,href,section_name
0,75071,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/230/75071.xml,AD7
1,75081,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/230/75081.xml,ADB
2,75082,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/230/75082.xml,ADC
3,75083,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/230/75083.xml,ADD
4,75084,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/230/75084.xml,ADE
5,75811,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/230/75811.xml,ADF
6,75085,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/230/75085.xml,ADG
7,75812,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/230/75812.xml,ADH
8,75813,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/230/75813.xml,ADI
9,70583,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/230/70583.xml,GP 
