,crn,href,section_name
0,61612,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/61612.xml,AB1
1,61615,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/61615.xml,AB2
2,61616,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/61616.xml,AB3
3,61617,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/61617.xml,AB4
4,61618,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/61618.xml,AB5
5,61619,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/61619.xml,AB6
6,61622,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/61622.xml,AB8
7,61624,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/61624.xml,ABA
8,61626,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/61626.xml,ABB
9,61627,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/61627.xml,ABC
10,64142,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/64142.xml,ABD
11,61606,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/61606.xml,AL 
12,63651,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/63651.xml,AL2
13,63653,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/63653.xml,AL4
14,66372,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/120/66372.xml,AL5
