,crn,href,section_name
0,56924,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/56924.xml,AD1
1,56925,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/56925.xml,AD2
2,56926,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/56926.xml,AD3
3,56927,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/56927.xml,AD4
4,56928,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/56928.xml,AD5
5,58962,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/58962.xml,AD6
6,33528,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/33528.xml,AL1
7,58717,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/58717.xml,BD1
8,61836,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/61836.xml,BD2
9,61838,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/61838.xml,BD3
10,61839,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/61839.xml,BD4
11,61840,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/61840.xml,BD5
12,33527,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/302/33527.xml,BL1
