,crn,href,section_name
0,71923,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC/199/71923.xml,LS1
1,74887,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC/199/74887.xml,N10
2,74888,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC/199/74888.xml,N11
3,74881,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC/199/74881.xml,NS0
4,74882,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC/199/74882.xml,NS1
5,74883,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC/199/74883.xml,NS2
6,74885,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC/199/74885.xml,NS4
7,74886,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC/199/74886.xml,NS5
8,74880,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC/199/74880.xml,NS7
9,74889,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC/199/74889.xml,NS8
10,71915,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC/199/71915.xml,VSA
