,crn,href,section_name
0,70623,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/70623.xml,11P
1,47377,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/47377.xml,41M
2,34503,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/34503.xml,ARS
3,69593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/69593.xml,C73
4,58260,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/58260.xml,DSP
5,66424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/66424.xml,EM 
6,34498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/34498.xml,KAP
7,34481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/34481.xml,M15
8,34499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/34499.xml,M20
9,34505,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/34505.xml,M31
10,34506,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/34506.xml,M41
11,47137,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/47137.xml,M57
12,47695,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/47695.xml,M85
13,59664,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/59664.xml,P11
14,67061,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/67061.xml,P12
15,69592,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/69592.xml,P34
16,67648,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/67648.xml,P43
17,66222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/66222.xml,PLT
18,70955,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/70955.xml,T11
19,56548,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199/56548.xml,URS
